Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121,Col122,Col123,Col124,Col125,Col126,Col127,Col128,Col129,Col130,Col131
151.74,204.83,259.70,220.32, ,40.01,149.42,252.96,295.16,54.63,31.99,191.94,90.59,243.35,230.06,163.25,178.59, ,174.00,119.70,12.35,134.33, ,275.28,105.32,134.60,125.86,174.67,43.76, ,287.11,189.28,102.13,192.56,269.43,21.70,160.87,16.57,265.81,270.47,198.74,285.12,66.77,233.35,195.47,43.79,137.50,196.55,60.01,21.70,155.66,118.57,77.45,11.72,228.57,193.78,223.10,185.99,30.61,74.44,17.96,108.67,51.30,95.09,94.32,140.76,160.18,266.50,94.48,280.88,260.42,150.36,53.57,173.39,155.69,10.27,66.06,29.10,124.15,228.68,240.97,168.45,28.78,38.78,113.18,146.31,194.33,257.11,33.01,32.08, ,42.35,144.39,91.46,285.44,190.43,156.62,72.36,288.65,296.56,20.49,258.23,210.56,51.19,287.91,190.54,260.03,238.96, , ,66.17, , ,283.53,216.47,60.47,263.20,17.05,73.25,77.77,230.16,142.26,10.66,94.68,265.70,75.11,64.06, ,10.13,123.02,14.35
173.29,142.11,236.53,3.57,203.58,141.96,129.64,43.20,154.71,128.14,89.00,252.42,27.51,28.15,75.37,29.44,261.98,178.98,297.35,110.30,169.93,233.47,12.30,162.01,290.57,55.37,178.17,9.84,270.34,56.21,80.49,294.37,257.19,240.98,55.90, ,225.83,88.94,15.85, ,182.86,77.56,135.74,246.01,161.41,183.57,262.05,3.26,6.54,129.78,215.00,298.80,111.51,159.41,18.20,124.31,281.19,139.28, ,85.29,19.02,146.09,263.68,239.90,116.69,49.89,115.36,63.02,47.07,45.23,83.57,208.29,251.44,123.90,267.78,30.89,210.82,223.44,287.13,94.61,63.70,168.04,80.06,64.88,296.42,211.12,80.36,64.61,229.58,100.17,97.71,184.16,8.03,183.04,270.95,98.99,122.15, ,202.21,278.59,194.50,240.47,169.06,39.10,289.45,1.02,25.32,70.97,140.10,216.88,149.53,234.26,16.68,97.90,99.37,248.25,165.18,268.36,248.59,235.09,235.08,124.85,68.18,294.24,74.41,43.55,105.66,108.13,179.10,41.24,282.51
 ,147.69,240.70,126.78,117.02,183.24,189.67,121.31,137.87,159.90,73.15,154.66,191.97,230.06,18.23,80.50,180.86,185.91,110.11, ,227.13,252.96,267.18,101.56,234.47,212.59,204.31,138.12, ,115.11, ,133.34,66.89,274.71,26.96,105.19,165.99,117.16,12.58,215.55,137.03,245.30,133.48,46.04,104.87,86.71,220.84,84.03,61.11,282.80,155.01,127.73, ,244.89,132.89,55.50,166.26,192.33,38.99,261.91,146.80,97.29,117.19,221.02, ,279.76,166.53,175.71,155.77,239.15,128.91, ,75.94,256.73,50.51,10.20,6.30, ,103.59,25.97,215.00, ,194.77,65.93,94.33,185.30,299.33,219.26,232.25,102.35,263.47,184.70,165.28, ,74.06,124.65,115.54,230.92,234.42, , ,243.86,149.26,140.39, ,108.10,248.68,151.51,63.32,185.83,227.20,2.66,141.14,37.33,33.62,115.22,133.13,127.02,228.43,114.58,114.71,221.24,133.13,275.54,108.95,125.05, ,127.71,19.01,295.27,264.03
15.03,180.66,274.20,22.63,269.43,250.14, ,13.53,275.34,221.69,150.44,120.44,174.45,47.31,73.65,68.89, , ,1.84,190.27,78.99,126.12,275.83,262.93,43.46,278.43,22.55,11.90,157.18,221.36,291.21,151.62,116.19,276.17,170.12,274.72,192.13,9.45,119.06, ,162.52,135.76,233.19,139.58,121.82,297.54,17.14,177.94,108.74,53.40,161.84,201.50,111.96,120.40,121.40,137.25,3.41,111.60,237.64,12.78,277.10,85.78,2.88,71.48,255.43,38.40,44.71, ,156.67,48.62,63.62,273.84,144.80,159.14,184.49,94.18, ,104.51,81.66,293.45,219.01,278.01, ,22.72,294.36,139.53,15.99,184.37,250.70,236.67,110.57,220.16,65.11,9.26,89.23, ,242.37, , ,293.07,243.10,97.67,29.90,138.48,25.01,183.75,64.98,164.74,213.75, ,221.32,46.08,195.39,252.92,171.51,224.12,116.40,72.48, ,213.13,77.44,205.68,292.32,254.79,156.80, ,108.05,5.31,100.41,288.49,131.75
226.63,134.82, ,207.30, , ,59.28,58.56,53.39,235.62,207.94,176.71,200.47,139.81,66.97, ,120.30,203.10,228.13,89.95,245.21,113.24,131.15,124.20,258.83,31.74,83.02,143.72,24.64,57.33,177.25,122.34,270.10,44.48,63.35,296.72,206.30,74.19,15.41, ,274.24,165.30, ,289.46,74.01,195.24,93.34,229.17,70.04,241.11,97.50,248.95, ,155.25,87.22,219.59,26.27,59.07, ,215.55,220.03,195.13,120.90,187.76,204.15,249.34,72.32,149.73,141.06,176.52,249.97,264.84,95.49,294.64, ,210.20,213.76,63.22,20.65, ,70.72, ,20.06,246.91,250.84, ,113.60,253.20,213.93,299.14,76.70,296.48,203.98,284.19,227.79, ,279.48,195.11,104.60,36.44,282.07,19.70,100.87,143.22,78.35,163.58,137.94, ,208.37, ,192.56,176.60,289.47, ,184.59, ,99.76,291.92,115.11,271.84,176.04,80.43,176.31,42.16,101.38,222.63,75.22,27.81,20.98,107.90,201.87
97.17,27.13,83.45,100.72,58.24,170.36, ,46.67,273.30,184.06,283.55,174.92,74.60,119.71,234.63,293.75,73.66, ,162.76,3.31,134.12,240.23,200.21, ,282.89,112.06,244.37,213.73, ,288.33,14.06,180.65,73.96,64.21, ,226.96,178.94,282.29,130.67,140.69,37.91,146.70,290.53,245.57,210.35,192.59,153.98,37.02,46.77,208.74,227.22,264.27, ,246.56,156.81,187.34,271.23,5.54,1.44,66.77,6.96,98.30,60.67,200.34,117.87,113.94,179.15,198.24,275.78,31.96,78.12, ,49.35,296.96, ,93.57,137.36,144.00,263.86,6.76,109.87,116.13,58.60,173.44,280.60,101.64,281.80,231.86,229.11,270.19,93.73,36.96,164.30,166.75,85.63,292.36, ,108.49,56.73,292.75,84.38,115.21, ,294.97,96.99,190.87,23.74,130.94,215.68,241.66,123.40,255.93,222.79,224.25,10.80, ,24.37,176.80,209.35,134.55,97.56,129.01,82.37,295.69,29.28,84.73,114.33,67.64,34.81,154.33,32.51
111.74, ,288.54,204.10,31.00,86.67,271.25, , ,247.11, ,238.04,225.85, ,293.49,246.63,136.77,47.71, ,104.58,123.81,217.98,32.04,199.59, ,151.01,116.33,8.76, ,108.56,88.52, ,70.97,165.01,290.54,226.86,17.30,249.62,158.71, ,218.93,172.05,113.14,66.74,174.49,247.42,153.52,3.44,106.91,168.33,260.99,241.51,98.35,36.42,40.95,167.06,61.08, ,174.22,277.03,79.34,32.89,127.76,65.83,175.74,299.42,297.27,131.89,178.81,120.48, , ,162.55,280.51,225.26,106.51,240.21,176.52,248.24, ,14.07,217.66, ,108.04, ,239.93,94.05,252.17,9.14,252.09,152.12,249.37,260.26,247.06,28.18,94.35,262.08, ,179.75, ,287.79,217.84,38.07,181.78,101.43,161.85,215.03,207.27,20.82,16.06, ,44.24,107.99,150.13,244.52, ,247.12,281.56,245.39,176.85,9.88,18.10,31.80,185.70,97.53,106.61,174.41,157.82,228.23,212.57,179.04
219.81,260.11,291.12,221.01,32.67,146.24,102.62,283.90,117.12, ,223.72,69.24, ,131.69,287.36,116.84,286.71, ,246.82,283.69,159.04,185.00,297.90,192.54,219.66,293.06,75.69,196.10,260.75,276.62,236.30,49.80,7.60,95.27,24.49,106.74,230.62,273.46,227.50,104.46,46.85,148.26, ,44.36,275.05,244.10,229.60,257.81,272.59,127.58,68.76,33.75, ,25.49,65.68,91.75,100.16,267.65,261.14,292.77,257.01,172.72,215.67,122.83,110.30,75.56,235.86,71.06,119.26, ,184.93,205.65, ,44.25,98.13,4.67,234.01,76.97,126.70,244.44,240.63,116.62,92.06, ,163.12,117.55,54.55,9.22,57.55,4.46,257.06,84.95,243.87,124.94,173.33,295.04,58.22,239.47,141.84,72.70,232.60, ,287.15,273.86,250.29,251.82,89.86,115.52,205.54,262.76,35.47,251.18,138.56,97.79,142.81,285.66,22.35,112.40,68.64,256.86,219.05, ,8.91,165.01, ,27.16,32.01,189.83, ,28.38, 
241.35, ,227.01,130.83,87.14,171.57,97.19,92.45,240.00,176.21,248.09,132.17,284.10,247.40,115.75,251.45,217.13,242.97,53.14,247.06,214.14,13.68, ,106.13,249.12,193.40,155.58,186.29,129.59,160.56, ,136.34,31.32,126.74,197.61,48.11,20.16,263.30,273.57,139.97,221.54,184.16,203.04,161.97, ,243.06,256.11,113.09,171.22,131.18,64.18,193.62,31.23,172.15,129.44,205.04,66.12,4.37,155.54,203.76,193.26,248.49,286.72,153.81,228.15,3.45,296.05,201.17,52.95,92.34,217.89,2.60,249.87,25.80,41.00,77.15,76.38,83.63,87.22,221.03,222.43,7.68,121.56,245.75,282.17,56.90,35.47,184.07,66.48,90.75,139.43,41.74,193.54,278.91,62.81,296.11,124.42,203.71,212.65,120.50,187.56,94.89,236.90,208.38,188.83,110.86,167.03,244.08, ,222.98,40.78,37.43, ,41.23,193.33, ,13.82, ,191.22,189.78,222.55,131.51,97.29,139.65,94.97, ,72.94,66.20,129.63, ,76.98
69.45,98.75,284.13,115.39,191.05,3.47,103.33,224.99,77.35,164.94,148.37,245.26,256.03,284.71,198.69,204.53,31.99,116.78, ,232.17,141.79, ,255.39,29.92,241.30,245.01,279.58,296.07,248.46,283.81,11.77,294.87,150.64,219.58,42.98,199.60,12.11,129.39, , , ,118.92,92.89,246.16,221.22,134.73, ,67.91,37.31,101.39,89.63,155.38,191.29,67.05,191.92,170.89,55.74,188.45,111.65,268.47, ,139.47, ,294.28,93.25,263.33,219.54,215.61,185.56,129.89,10.30,149.05,91.35,199.96,227.11,93.41,9.52,35.05,36.41,42.72,60.91,24.29,59.01,55.37,46.79,197.19,207.07,238.28,251.04,278.23, ,71.64,159.36,108.79,236.29,44.26,199.03,90.23,109.32,234.85,76.91,251.08,27.18,72.28,248.36,3.83,60.35,200.24,275.36,221.25,147.14, ,46.17,67.83,125.13,160.50,174.86,130.10,7.79,81.13,75.78,37.22,51.99,102.53,88.05, ,299.70,158.46,4.87,45.12,299.40
91.01, ,71.62,26.79,135.95,112.80,99.57,114.01,262.72,123.27,28.09,50.47,174.67,291.66,72.89,48.35,13.19,233.89,235.30,164.21,68.60,282.98,127.04,19.73, ,142.99,41.62,191.00,33.88,20.06,291.66,131.18,255.42,141.50,293.26,204.44,170.78,47.48,8.49, ,98.25,201.67,199.61, ,228.01,48.54,177.59,190.31,247.82,66.72,185.95,191.50,124.48,271.83,101.23,16.44,78.56,61.57,74.04,147.11,217.21,250.13,235.86,103.57,286.16,272.99,230.26,262.49,226.78,226.72, ,243.15,293.20,249.49,191.63,157.65,289.16, ,83.96,284.26,172.84,57.81,142.53,10.33,42.82, ,269.54,253.97,153.05,30.28,257.71,174.49,115.60,168.68,247.61,243.68,30.69,192.95,56.63,186.86,223.85,200.98,89.10,106.08, ,136.36,59.83,219.18,173.88,43.87,30.43,76.98, ,291.08,108.93,239.54,209.35,119.77,56.78,265.27,151.02,299.23, ,57.51,2.43,197.71,64.69,248.02,93.71,132.75,289.36
91.77, ,255.16,200.13,13.79,174.81, , ,60.53,231.55, ,162.94,108.76,1.27,69.29,237.21,247.21,82.49,211.73,294.14,72.41,30.44,180.89,170.61,255.78,286.49,293.09,204.32,77.05,158.63,0.57,48.37,22.41,286.75,3.15,250.78,286.97,13.38,176.48,222.80,114.63,263.45,58.71,209.57, ,68.19,73.94,30.46,186.44, ,120.57,289.35,240.04,52.58,144.18,137.42,61.31,276.27,59.76,192.54,170.73,37.52,39.85,183.29,87.99,70.02, ,59.38,149.14,32.50,179.88,239.98,22.87, , ,251.78,240.18, ,206.08,281.66,160.18,7.49,209.56,156.74,136.89,267.78,169.16,52.47,10.32,153.59,222.45, ,180.56,75.23,47.48,291.05,194.03,0.90, ,78.42,184.20,135.60,87.90,222.33,135.47,139.69,134.99,190.28,242.70,64.34,79.16,243.14,292.23,73.48,164.69,133.37,67.20,200.87,273.72,295.46,55.85,98.26,197.29,179.96,20.21,92.08,42.49,171.95,134.36,169.15,97.32
 ,164.52,248.81,245.20,15.08,127.86,152.65,47.51,198.67,161.40,279.58,185.46,132.72,149.17,89.33,175.47,196.15,63.31,59.61,216.97,62.90,224.91,63.54,56.74,159.92,105.17,178.92, , ,210.81,89.79,151.68,91.97,5.25,192.79, ,109.76,226.70,64.44,218.12,199.00,196.78,285.49,296.06,190.58,186.93,97.50,45.73,279.04,68.00,286.35,298.11,272.40,250.70,67.07,73.70,49.14, ,34.64,79.26,197.33,197.69,184.46,137.10,63.80,15.22,217.01,196.23,120.48,263.81,188.11,231.01,181.77,237.37,208.24,227.17,103.59,196.94,209.63,235.26,264.70,171.54,98.56,194.82, ,158.63,76.91,7.37,173.04,168.44,117.10,16.62,288.66,119.61,51.11, ,24.53, , ,0.04, ,194.86,152.64,256.41, ,263.78,217.80,29.08,289.74, ,212.40,165.35,179.51,185.65,240.99,253.92,4.03,100.90,94.99, ,51.41,297.15,43.73, ,72.81,177.56,246.06,189.76,121.97,27.87,160.74
11.61,105.93,29.61,214.54,160.37,176.01, , ,87.21,79.01,1.23,146.98,46.53,58.69,106.01,176.11,55.42,81.42,203.36,68.17,235.63,284.83,272.02, ,59.22,81.84,229.17,66.22,84.94,235.15,208.97,129.55,77.13,257.15,220.63,6.65,3.80,23.35,207.21,118.26, ,200.09,29.38,251.90,23.43, ,276.87,162.69,139.56,123.68,178.29,164.87,82.83,120.13, ,27.34,102.36,78.65,179.45,240.95,13.87,186.21,241.25,17.55,289.60,171.34, ,215.65,20.60,119.85,104.67,168.08,206.31,161.76,41.30,149.71,283.66, ,138.51,208.90,103.02,113.43, ,249.10,235.97,188.50,110.44,159.76,76.27,140.36,274.84,207.82,54.32,238.65,29.99,22.08,97.02,299.49,205.36,261.39,218.30,197.14,143.05,7.25,122.97,157.36,29.28, ,83.60,161.01,286.65,218.85,252.03,172.20, ,120.79,186.12,134.68,67.83,140.16,197.05,222.69,60.94,119.58,35.57,144.31,62.89,151.21, ,290.63,274.75
228.60,221.53,94.23,35.52, ,110.60,108.07,23.41,285.27, ,20.84,296.63, ,295.95,217.73,95.03,222.06,254.14,51.97,275.83, ,47.79,67.95,9.77,40.20,86.51,31.10,102.43, , ,23.69,2.29,259.96,193.05,281.98,142.38,50.49,161.17,100.83,115.07,30.36,289.39, ,20.49,140.89,284.76,71.91,227.75,109.67,235.95,237.56,42.45,61.09,2.54, ,231.66,153.02, ,142.41,168.16,3.12,211.12, ,283.03,162.25,247.26,261.87,55.39,189.78,33.56,199.30,173.79,167.36,92.98,169.22,165.22,174.99,243.25,108.78, ,271.03, ,88.87,95.05,186.54,41.01,116.20,113.03,71.26,16.80,277.45,36.11,218.14,16.96, ,125.74,74.45,39.86,185.64,117.23,140.46,70.91,218.27,173.58,82.48,225.05,131.43,282.84,29.21,291.07,267.93, ,42.38,18.11,99.22,181.79,112.49,200.03,202.13,46.63,293.73,35.43,32.04, ,6.15,117.24,66.32,114.02,127.54,62.69,126.82
 ,255.94, , ,20.27,67.22,70.26,267.50,1.41,252.20,5.69,41.94,194.24, ,238.82,144.53,146.75,36.24,227.29,278.39,203.73,150.47,8.52,238.13,212.84,66.41,243.36,179.48,88.57,63.19,261.23,28.89,179.07, , ,248.60,189.62,245.27,122.94,251.52,68.00,298.74,1.90,28.74,188.36,187.97,144.68,159.28,257.18,238.71,144.70,292.80,39.63,74.41, ,25.93,259.86,222.39,192.19,123.00,52.84,261.55,84.99,163.67,67.94, ,53.74,84.59,81.04,284.61,286.80,181.38, ,71.67,230.59,297.32,37.43,293.90,54.56,109.73,37.46,120.25,231.40,19.33,248.02,262.56,130.36,284.85,275.35,173.64,20.37,259.53,221.11,56.77,32.32,193.90,44.16,4.52, ,23.85,129.14,216.06,297.77,217.47,30.44,212.21,294.36,195.91,4.28,108.93,181.67,173.85,19.59,255.98,69.13,248.66,147.24,130.89, ,48.36,250.24,95.79,16.71,82.53,183.23, , ,113.55,37.02,172.82,20.97
294.15,116.63,148.04,23.31,201.16,176.63, ,272.41, , ,120.55,34.60,57.39,165.97, ,230.97, ,251.95,153.97,68.05,100.79,69.71,250.56,270.47,235.39,139.98,94.25,225.71,12.96,26.62,193.73, ,277.17,61.86, ,14.61,21.61, ,91.31,296.59,179.71,168.08,238.53,216.85,139.90,212.03, ,90.96,33.73,293.90,262.72,130.18,219.12, ,265.15,1.98,175.78,60.29,4.29,258.05,197.89,266.83,220.97,200.88,72.87,231.60,64.47,58.01,73.21,134.53,152.89,0.10,18.20,72.53,59.21,243.62,128.54,67.01,249.59,287.21,69.63, ,134.10,8.31, ,218.10,184.48,146.94,99.67,244.96,187.62,202.79,261.27,41.70,80.84,296.17,13.74,286.86,199.91,272.34,205.89, ,90.37,233.17,61.11,219.90,285.94,136.09,185.35, ,213.63,150.16,16.31,275.61,127.95,62.95,251.32,290.74,59.20,270.72,13.28,254.05,54.97,82.68,63.47,31.03,198.36,186.90,45.10,217.84,38.02
273.34,249.62,26.88,216.26,42.97,66.64,176.13,175.14,293.77,208.91,215.70,206.00,21.93,265.11,124.15,220.54,292.46, ,19.34,277.83,221.95,83.60,83.50,94.10,198.98,251.22,248.41,129.78,80.40,16.13,205.03,240.71,11.71,64.10,289.85,48.01,249.31,130.76,36.82,75.12, ,26.34,205.98,289.35,165.22,273.12,275.26,126.09,4.08, ,35.14,83.83,138.62,214.76,65.95,194.24, ,151.81,46.95,252.23,14.78,106.54,2.83,280.26,59.59,65.89,19.49,185.31,131.33,17.41,284.40,294.94, ,146.75,203.32,245.13,219.31,46.16,65.41, ,194.33,171.82,289.02,252.93,293.96,92.78,184.96,280.35,202.67, ,195.56,231.19,279.66,203.26,57.70,153.77, ,41.31,123.22,8.29,204.67,160.40,13.62,74.64,225.26,130.69,172.87,183.11,150.39,216.82,91.31,29.97,48.49, ,171.71,161.76,6.29,108.26,177.62,78.39, ,55.69, , ,173.01,242.12,247.51,199.59,44.43,75.29,0.85
264.62,90.51,108.77,20.74,132.13,190.90,253.24,6.01,175.16,197.94,202.40,276.23,184.27,31.57,113.58,188.31,134.90,290.69,233.34,56.19,185.78,69.20,193.69,123.06,254.21,186.14,166.45,258.61,183.03,10.28, ,198.59,157.50,65.51,110.75, ,176.22,104.45,101.73,20.62,66.98,245.78,131.45,115.48,162.96,80.24,295.13, , , ,249.25,61.52,212.38, ,175.09,181.64,21.46,201.61,177.09,41.56,259.63,98.60,155.56,295.83, ,67.66, ,16.91,3.56,268.46,13.14,245.76,120.37,97.04,55.67,169.37, ,129.00,81.26,109.82,247.42,241.79,181.13,31.99,187.38,205.66,122.05,55.58,169.58,113.87,78.46,60.94,70.66,129.95,141.53,112.03,200.28,104.03,237.64,18.61,244.93,234.83,273.49,83.81,13.21,34.63,285.67,267.36,285.51,208.26,37.09,215.99,74.11,18.77,156.04,136.77,261.65,167.95, , ,78.21,149.44,166.89,208.42,191.45,231.56,20.97,120.00,206.01,256.98,205.85
 ,42.62,223.82,81.95,176.22, ,251.44,50.02,18.26,252.57,152.36,9.42,152.78,110.29,23.51,283.58,180.29,271.98,169.57,176.23,262.41,265.70,93.09,32.18,274.15,21.06,168.89,299.85,159.88, ,183.39,64.05,57.70,84.73,179.36,28.21,133.34,173.58,31.23,79.37,163.45,163.63,233.02,289.80,53.99,35.15,277.35,50.14,108.99,187.03, ,215.23,139.13,69.82,184.61, ,27.19,29.81,112.52,84.93,217.51,202.27,76.30, ,126.43,160.86,101.69,267.09,45.44,170.30,292.53,74.37,82.09,288.03,9.46,57.84,168.37,14.05,273.05,172.90,108.34,60.79,182.97,226.95,134.10,43.68,152.16,84.85,14.99,207.17,23.74,136.23,161.77,13.14, ,186.04,152.29,295.09,102.78,289.26, ,86.52,283.71,192.93,172.94,141.45,232.37,45.12,57.29,218.88,41.71,256.47,115.11,271.11, ,294.08,10.25,253.21, ,191.89,203.44,185.98,144.94, ,190.06,267.37,105.82,138.66,294.26,183.77, 
61.19,79.86,159.83,181.10, ,72.99,269.35,108.99,282.75,224.32,114.28, ,220.10,108.42, ,223.09,94.27,233.71,88.74,103.69,42.69,85.66, ,55.01,80.66,236.25,293.57,122.27,78.83,114.73,31.12,110.35,132.74,137.35,207.96,180.29,41.63,13.38, ,68.39,281.25,47.06,131.21,111.52,234.95,131.20,185.01,232.55,2.41,225.99,259.72,259.30,266.57,200.82,88.83,234.68,106.85,59.33, ,170.85,72.81,85.72,209.75,127.55,257.80,224.39, ,149.32,26.47, ,227.29, ,196.49,43.24,156.19,241.40,273.42,66.85,281.64,207.91,89.41,194.82,130.69,107.75,227.73,95.91,61.51,85.22,210.12,261.34,231.04,60.36,98.67,202.62,89.06,17.33,16.83, ,147.52, ,127.54,89.16,183.58,259.12,108.66,97.27,235.55,272.75,232.77,123.11,151.72, ,169.05,262.75, , ,224.99,237.82, , ,180.08,120.38,241.24,246.15,225.17,283.99,207.23,44.19,207.12,288.55,47.00
157.38,61.58,177.58,78.87, ,258.95,281.04,233.31, ,244.56,28.43,116.91,283.95,278.28,117.47,267.25, , ,149.30,207.00,279.10,186.38,244.83,120.79,111.77,106.63,287.28,284.88,70.72, ,49.00,82.78,127.15,233.96,96.55,158.79,192.76,9.81,89.49,153.31,0.04, , ,232.05,41.25,154.56,1.55,169.98,219.39,31.57,248.92,67.01,251.55,252.37,292.29,149.63,184.01,90.37,206.04,216.62,58.67,257.36,274.74,144.54,124.47,47.48,4.24,181.10,74.26,217.16,175.34,212.16,216.46,192.14,24.95,69.78,179.94, ,154.69,288.37,278.96,96.30,168.73,233.46,285.05,41.68,242.28,263.77,24.93,193.77,291.24,217.21,182.47,218.68,98.84,85.98,71.54,130.15,93.07,64.79,130.55,129.73,214.94,74.45,59.79,87.29,270.74, ,153.21,44.57,47.71,276.35,23.17,255.66,251.69,28.22,149.82,159.55,49.63,297.09,12.84, ,63.88,81.30,89.27,234.34,77.87,255.99,209.13,159.04,66.30
200.79,28.13,255.66,85.11,247.86,221.55,151.39, ,232.69,238.50,109.53,40.72,174.12,204.63,103.14,55.03,277.99,9.57,106.81,98.58,208.21,237.06,24.58,270.61,97.67,220.12,127.25,202.70,204.93,290.11,184.53,289.51,196.29,175.98,259.43,18.62,147.74,289.02,178.16,129.58,168.75,183.04,10.53,297.37, ,287.47,77.60,213.05,228.90,116.09,171.56,250.62,238.39, ,110.70, , ,60.30,289.98,152.60,29.08,215.97,137.44, ,170.05,239.86, ,55.95,136.25,281.57,84.99,203.68,272.32,135.97,48.14,275.95,126.46,50.70,227.18,181.94,58.19,166.79,199.17, ,35.42,169.66,154.33, ,50.02, , ,62.47,11.95, , , ,5.66,270.64,62.78,251.99,64.36,196.45,297.21,56.45,142.74,224.40,260.81,263.38,16.71,158.76, ,297.17,278.22,69.22,240.80,124.01,31.15,134.51, ,66.38,97.22,285.49,166.42,275.86, ,292.57,251.85,119.96,146.28,127.03,270.21
