Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102
39.69,204.83,110.83,236.23, , ,52.09,30.65,289.03,137.33,188.03, ,92.47,194.62,226.51,197.27,60.10,58.76,190.06,293.54,241.50,257.55,209.69, ,245.30, ,82.64, ,207.84,274.62,5.43,60.13,151.65,16.53,137.97,26.95,192.77,84.74,242.80,260.08,123.53, , ,288.02,299.81,105.21,29.48, ,89.61,80.46,83.60,6.79,244.29,175.61,234.76,172.34,186.07,297.10,217.10,79.47,114.57,16.71,4.81,17.82,194.41,263.24,15.63,260.85,120.05,189.47,62.45,228.39,233.65,39.98,40.25, ,154.82,78.97,99.60,261.64, , ,157.26,75.56,39.59,247.34,224.95,238.50,230.54,220.41,227.00,196.28,133.43,141.24,294.93,118.73,134.86,16.50,298.20,119.41,127.54,213.84
68.91,39.25, ,259.67,266.37, ,12.82,102.87, ,97.80,195.40, ,114.86, ,113.07,41.30,290.48, ,42.97,217.05,176.41,41.90,222.78,83.66,237.01,89.66,284.34,209.09,114.33,109.59, ,272.52,287.89,185.56, ,62.52,88.20, ,130.10,148.82,54.50,139.84,174.09,225.37,62.63,172.98,73.68,223.61,286.70,9.20,264.09, ,233.72,173.72,233.47,8.60,199.06,276.15,267.11,65.47, ,29.55,278.89,107.93,149.43,113.99,266.89,173.81,11.80,75.40,210.65,180.16,119.02,23.10, ,152.78,266.06,54.14,23.98,272.73,6.80,40.46,34.26,39.23, ,16.41,1.89,231.31,274.02,155.24,9.44,149.91,61.59,88.16,218.98,199.13,252.33,185.91,0.75,156.99, ,173.40
 ,100.47,18.72,229.67,71.62,269.50,273.14,116.53,257.49,6.83,180.97,123.11,76.91,71.32,60.55,107.30,42.76,187.93,282.27,235.45,56.71,275.42,236.06,91.14, ,97.97,8.44,173.28,134.04, ,67.94,52.74,66.27,83.02,156.99,71.79,119.17,297.40,158.35,186.54,127.01,47.46,22.45,50.46,238.63,244.40,105.28,181.81,92.64, ,249.63,197.55, ,26.05,243.87,272.92,133.89,144.43, ,166.87,27.57,224.57, ,231.14,206.18, ,298.82,177.75,107.88,290.52,101.35, ,285.75, ,119.64,175.87,79.95,286.93,7.37,182.68,142.64,122.59,115.12, ,292.87,141.24,60.38,169.52,299.42,93.27,274.91,206.73,276.07,262.83,256.85,266.26,16.97,295.85,144.50,5.92,187.12,205.53
245.55,37.86,230.33,275.84,27.25, ,3.31,143.96,88.89,53.15,35.26,258.00,227.03,13.73,262.39, ,209.89,44.98,51.41,78.89, ,106.14,61.68,41.87,196.35,223.93,92.91,32.04,267.00,126.19,23.46,141.62,298.47,38.37,299.46,25.12,194.22,236.53,240.71,161.54,109.15,86.56,44.65,252.99,77.66,292.39,167.75,94.51,82.06,112.45,146.56,108.23,268.84,296.68,23.15, ,132.31,133.17,288.34,287.36,29.44,292.38,234.28,225.07,208.44, ,289.96,50.54,245.28,142.95,228.92,100.18,298.41,108.71,32.21,20.14,89.92,24.58,20.95,145.54,59.41,34.42,107.98,147.56,104.33,295.22,156.61,8.79,139.28,187.79,177.98,203.69,294.60, , ,79.23,137.02,237.41,188.01,256.39,98.65,26.08
93.98, ,102.77,28.56,225.50,98.25, ,66.15,32.00, , ,288.45,249.88,152.04,271.25,173.46,169.16,163.78,82.23,65.90,81.63,45.42, ,178.85,150.57,117.41,150.47,93.55,178.53,283.13,290.66,189.88,260.72,224.35,171.64,289.76,59.05,36.99,60.34,126.13,222.73,16.01, ,109.56,50.72,187.41,119.64,257.01,239.70,104.56,218.07,153.31,141.03,246.63,189.57,7.87,85.20,116.49,123.60,62.69,55.02,241.46,229.08,54.87,244.90,32.33, ,185.64,82.44,19.25,204.44,272.06,266.93, ,125.33,47.45,221.40,138.13,277.13,61.34,235.98,191.43,169.22,153.94,215.29,261.08,73.25,151.54,109.73, ,235.06,247.01,43.50,261.21,26.61,267.71,264.39, ,232.70,82.89,85.00,255.46
177.65,188.88,106.87,104.21,233.67,253.44,269.82,17.96,29.53,143.89,10.77,38.19,261.01,30.13,119.25,92.09,14.29,26.10,279.59,127.60,56.62,270.01,83.97,202.62,34.36,201.65,164.36,288.61,60.90,171.38,4.32,177.05,244.45,139.78,33.46,137.30,48.42,116.51,95.29,245.89, , ,174.78,87.37, ,148.27,226.76,186.44,205.48,134.69,44.83,142.09,196.04,60.63,48.67,98.65,138.91,133.45,103.08,73.81, ,222.09,45.60,35.03,155.99,70.53,284.90,106.71,25.30,57.74,87.55,127.30,89.66,288.81, ,52.27,125.14,72.01,216.70,8.75,178.51,223.06,233.73,249.85,77.64, ,106.29,239.33,231.63,289.19,105.09,272.70,273.01,27.02,60.50,255.48,228.05,136.10,138.04,21.03,266.07,57.45
86.02,5.96,25.76,238.09,143.02,85.86, ,112.88,115.09,18.24,90.48,164.23, ,52.66,129.46,192.45,91.09,183.68,296.13,92.20,40.29,145.00,51.26,239.04,14.68,132.26,191.94,207.04,115.39,236.30,278.43,131.76,107.23,166.57,224.88,37.56,194.00,91.34,82.15,59.28,131.84,139.64, ,46.68,61.74,13.68,284.81,138.35,249.66,220.90,78.68,90.58,73.69,135.19,55.29,78.22,297.41,291.77,216.10, ,277.84,112.26,29.64,122.79,204.35,4.88,55.26,47.94,258.25,234.31,76.37,55.41,97.29,220.27,241.28,217.06,3.55,203.56, ,26.34,188.36, ,145.73,6.60,157.30,214.75, ,291.12,297.45,288.79,139.89,263.90,24.33,102.15,86.58,37.66,252.50,115.85, ,174.03,265.42,45.98
122.95, ,14.45,90.92,8.10,110.51,29.41,155.03,188.50,266.90,54.54,152.19,293.94,44.42,189.37,121.07, ,109.09,213.16,31.76,102.66,26.91,291.98,229.69,50.26,90.44,225.84,128.61, ,52.55,78.88,216.41,11.46,9.04,28.28,284.06,206.26, ,280.92,133.35,62.15,81.92,160.03,162.45,103.99,41.19,245.12,161.05,294.58,154.10,4.45,230.95,163.96,220.72,116.19,55.49,237.69,30.94,145.18,86.37,59.63,193.82,110.68,149.81,31.04, ,35.48,283.08,125.56,205.33,276.85,25.93,197.09,186.14,8.52,81.18,139.16,151.51,19.42,293.72,237.41,176.81,259.24,257.51,20.55,55.25,122.24,152.61,244.52,14.15,118.28,210.73,4.08, , ,268.62,148.17,92.72, ,51.97,136.43,205.42
192.02,121.51,55.44,217.72,155.00,212.47,81.49,254.42,271.27,112.35,126.10,159.08,197.30,35.95,47.82,33.01,144.20,213.03,295.37,293.82, ,206.29,83.00,55.14,47.48,39.08,159.16,272.92,254.76, ,288.50,287.57, , ,176.02,31.41,215.41,21.77, ,122.48,7.73,226.66, ,265.74, ,23.20,80.09,25.94,266.46,113.84,129.35, ,214.02,35.39,2.26,46.35,179.64,241.51,272.94,267.94,165.76,261.89,117.87,33.67,206.31,57.99,120.74,58.27,280.63,164.19,150.81,216.67,256.82,87.70,154.89,168.45,93.42,28.38,70.18,155.44,53.43,170.77,217.03,208.94,22.69,180.55,283.67,203.94,255.38,170.26,47.27,130.92,169.05,51.98,221.33,215.72,120.85,148.94,15.53,235.55,131.00,211.71
213.30, ,168.69,225.42,154.55,109.88,133.17,47.23,190.51,288.12,75.50,14.22,90.15,48.93,203.09,40.09,78.33,72.92,263.02, ,117.57,35.86,95.63,160.05,195.54,156.16,190.20,75.03,20.93,52.52,50.22,189.38,295.88,140.90,8.14,168.89,101.69, , ,209.78,65.36,213.28, ,103.48, , ,173.22,159.60,138.51,211.89,73.03,47.38,265.15,184.82,288.30, ,185.63,127.97, ,41.25,270.81,24.79,251.80,0.27,220.51,188.55,45.26,89.41,277.52,279.24,145.41,251.91,153.17,2.77,55.93,276.65,188.74,238.72,199.43,251.94,77.76,252.35,102.07,215.65,96.32,241.93,162.43,116.54,145.10,119.75,163.32,227.77,97.83,192.61, ,144.55,183.23,69.57,87.12,221.88,207.65, 
149.39,2.48,294.80, ,114.55,248.56,276.37,8.78, ,6.05,37.78,131.54, ,137.78,4.16,276.65,176.43,61.20,87.77, ,235.34,264.98,60.92,260.31,184.71,254.77, ,292.56,183.01,206.86,125.33,80.45,122.84,187.28,112.52,211.17,210.39,227.94,84.46,154.63,288.58, , ,9.26,193.37,108.71,213.06,11.26,36.03,250.40,18.13,198.36, ,108.75,253.81,37.29, ,183.29,115.50,225.60,77.39,17.03,219.21,120.16,223.60,64.56, ,79.50,82.69,236.92,277.86,11.98,262.80,86.61,264.82,216.61,89.69,2.11,274.29,247.40,185.40,20.55,62.90,169.47,246.15,187.66,246.86,65.13,204.69,132.97,284.34,134.77,253.13,214.80,58.37,109.32,279.36,232.38,188.82,62.04,169.30,166.69
74.03,132.10,253.30,38.85,48.71,42.99,40.96,23.00,290.39,226.36,43.55,53.30,95.83,289.70,240.95,42.69,54.82,145.64,175.66,39.16,280.41,128.79,253.96,38.79,238.11,233.31,271.16,126.93,295.36,140.46,293.62,69.38,272.56,246.92,108.23,21.27,289.91,149.18,44.27,280.30,75.54,87.82,33.60,171.37,77.52,274.55,214.06,132.34,120.19,89.73,171.50,100.60,218.52,125.45,139.39,156.64,58.77,110.55,283.57,54.13,251.01,277.19,123.51,223.58,224.11,231.74,244.85,214.02,80.92,289.13,194.32,156.47,76.95,227.92,27.84,154.47,202.47,241.90,286.81,22.67,31.63,158.30,123.27,250.16,283.76,262.66,106.79,42.53,73.21,90.36,96.65,24.23,67.55,220.16,247.80,291.67,151.90,192.65,205.69,232.82,181.78,100.01
89.29,258.73,27.93,117.12,113.20,230.41,59.03,100.00,253.08,90.66,258.30,76.35,40.82,242.06,39.01,147.61,284.59,112.22,237.97,81.24,136.45,5.53,1.40,84.25,297.19,153.29,276.90,202.88,86.11,158.68,2.89,175.40,117.41,30.83,292.52,230.61,261.24,51.55,30.61,214.31,142.21,288.92,290.66,183.03,230.98,29.67,30.64,215.56,141.89,268.61,296.80,278.33,274.14,298.20,62.58,271.33,151.49,39.48,174.22,237.60,198.17,177.11,113.00,15.58,207.94,105.52,246.19,169.18,157.07,276.81,83.49,299.28,265.72,74.15,182.30,196.70,103.81,212.94,112.27,245.70,181.55,109.07,224.03,155.69,107.27,286.61,127.02,258.75,26.10,1.24,196.36,224.27,178.35,9.35,239.85,86.29,114.87,186.04,255.46,271.94,162.85,38.95
