Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82
249.13,4.50,4.82,222.18,107.22,164.29,101.00, ,287.36,210.32,273.97,236.61,227.28,166.79,247.99,9.41,257.03,20.34,92.52, ,25.23,169.16, ,270.15, ,257.52, ,50.12,2.85,15.16,197.09,95.38,189.86,160.93,192.49,257.16,93.50,10.24, ,199.76,128.93,74.68,129.68,136.56,108.27,143.69,20.39,133.78,215.50,26.40, ,207.68,116.07,9.17,114.13,26.08,296.88,143.08,260.56, ,89.09,43.18,95.16,258.42,229.04,167.50,236.30,163.12,114.63,265.02,278.44,267.02,129.85,189.92,58.47,133.06,195.19,80.34,239.81,219.29,212.68,124.28
85.35,104.83,151.71,140.92,202.82,176.98,205.84,245.84,205.32,111.87,255.14,90.86, ,10.14,143.64,188.08,182.28,97.45,27.19,223.17, , , ,102.79,101.22,201.26,127.54,107.04,205.33,277.63, ,41.42, ,229.50,187.25,70.00,132.17,192.67,7.42,23.82,160.73,158.85,131.58,75.11, ,280.44,46.71,44.57,96.67,17.63,236.80, ,206.31,76.51, ,83.93,268.12,183.49,52.99,224.74,20.58,108.46,299.89,117.76, , ,94.00,283.65,83.54,237.10,199.37,282.62,58.85,177.44,43.91,187.81,269.82,132.01, ,131.89,27.19,176.73
270.34,225.27,221.19,238.25,247.50,242.14,33.18, ,275.52,38.67,205.43,71.72,86.77,169.33,8.33,196.93,16.02,175.22,255.78,255.41,170.85,157.44, ,50.32,238.44,248.55,192.54, ,229.98,154.63,64.01,144.99,112.91,295.53,178.17,211.48,166.61,63.32,183.97,74.37,264.68,42.41,254.02,239.93, , ,283.31,257.52,68.21,289.31,58.56,15.05,1.05,52.37,205.71,90.61,30.19,41.55,121.72,72.04,179.56,156.20,222.56,291.18,184.15,54.51,147.96,212.74,251.23,213.38,201.44,137.01,59.28,4.23,174.12,242.65,191.57,216.56,212.57,104.90, ,159.41
36.19,252.16,180.21,98.59,118.71,174.16,161.86,54.57,226.84,285.50,22.41,197.09,296.92,241.43,293.06,133.06,29.82,214.45,2.49,247.18,115.62,171.56,174.05,20.33,56.97, ,79.38,278.51,83.35,180.76, ,13.82,288.01,20.11, , , ,222.75,266.55,126.25,20.44,241.50,152.42,156.79,1.43, ,84.78,210.49,188.25,266.84,23.35,74.30,20.09,47.64,186.07, ,26.68,141.69,239.79,291.09,236.72,169.29,77.30,176.94,287.59,205.32,124.60,238.16,212.35,297.14,43.75,76.31, ,218.00,241.27,29.69,148.84,207.15,99.52,292.23, ,93.48
157.94,135.58, ,47.93,164.73,297.53,205.45,5.30,106.55,35.57,284.43,158.46,299.70,198.07,295.97,85.42,50.10, ,146.19,122.80,35.83,97.50,157.39,44.96,272.00,16.41,275.96,266.70,200.51,65.60,220.65,277.86, , ,234.81, , ,254.01,9.56,227.94,216.96,147.80,264.42,297.21, ,263.91,265.54,173.52,109.24,135.84,139.12,203.99,269.65,247.18,271.17,85.87,215.65,285.92,23.19, ,263.58,65.74,180.69,245.01,63.56,174.50,215.40,236.72,261.35,155.74,169.50,205.16, ,263.93,174.69,143.66, ,58.82,22.19,296.58,278.18,43.48
92.88,144.38,167.44,227.94,225.03,177.60,105.05,94.12,122.37,242.24,31.93,141.15,240.57,21.32,197.88,71.42,23.68,20.37,21.54, ,246.57,91.90,150.79,170.87,161.96,191.61, , ,102.00,133.24,59.48,137.61,123.41,147.95,148.75,60.75,253.37,142.80,84.08,84.86,242.96,207.06,207.66,27.25,229.26,249.39,212.47,113.01,215.38, ,64.12,135.84,253.41,3.98,227.24,83.53,240.52,89.26,238.01,102.35,209.63,197.06,175.30,11.38,199.43,286.26, ,122.10, ,265.26,224.46,126.27,74.70,38.34,141.89,144.33,224.01,207.07,252.32,105.13,293.55,236.04
268.12,101.91,134.21,221.56,259.68,66.66,114.62, ,256.52,42.68,5.37,107.82,48.96,231.56, ,236.13,163.55, , ,297.09,32.64, ,292.32,116.67, ,221.67,37.62,267.74,8.39,46.19,113.34,66.39,120.13,74.70,206.76,249.14, ,281.77,273.17,88.99,0.79,11.50,207.71,193.59,22.92,192.27,71.30,224.14,248.79,272.00,133.42,181.61,126.99,159.78,137.47,189.99,118.85,64.12,216.02,172.64, ,64.91,286.96,20.82,142.36,156.25,80.89, ,118.16,119.82,287.22,226.70, ,45.56, ,72.12,117.37,233.65,9.67,19.99,51.14, 
298.61,120.44,120.56,197.66,196.69,294.85,102.30,249.53,250.75,219.97,226.56,179.11, ,209.43,77.64,183.82, ,244.30,38.68,20.55,72.49,111.94,71.22,239.38,62.11,129.94,135.59,146.81,16.09,224.13,98.85,179.49,143.89,165.78,188.65,118.91,103.57,28.47,145.10,195.54,157.98,189.29,81.98,8.28,57.31, , ,117.12,78.25, ,244.03,285.66,262.48,233.93,275.27,38.43,4.26, ,29.73,94.68, ,102.96,228.33,3.52,152.49,162.74,73.76,257.05,237.13,6.22,112.86,279.79,224.61,96.93,13.78,120.39,102.88, ,31.22,38.79,111.20,278.45
89.29,181.74,22.36,154.94,214.13,173.21,61.04,162.36,171.04,207.14,197.10,31.80, ,70.59,200.41, ,125.09,107.71,24.13,108.11,23.49,15.51,87.66,53.95,163.30, ,44.24,70.44,221.52,241.33,200.93,253.31,169.65,290.13,23.90,213.68,190.54,110.02,236.16,15.63,285.44,43.87,22.47,9.57,173.93,130.58,188.65,197.42,152.81,204.16,94.12,240.48,280.71,148.07,190.50,144.01,73.06,234.74,214.46,294.58,176.07,115.39,247.89,45.72,105.52,271.79,259.40,296.06,81.81,195.55,11.70,67.25,239.42,34.16,76.82,113.36,164.74,265.47,10.78,17.55,169.63,104.90
258.03,150.34,252.97,148.53,294.35,26.03,83.27,208.81,20.61,259.34,24.20,268.50,5.05,129.72,240.29,264.45,125.78,22.10,160.00,137.48,89.35,99.42,171.64,166.17,212.78,36.38,131.64,223.56,53.93,1.27,28.46,11.97,151.61,281.43,160.50,145.96,7.47,243.77,54.77,28.08,203.10,78.97,296.58,208.16,208.69,236.87,172.61,34.47,258.97,32.61,171.95,48.32,132.04,43.59,214.49,44.82,79.97,46.13,268.38,133.90,47.39,296.84,145.87,199.00,278.27,6.36,44.96,285.74,250.13,99.73,13.82,153.24,178.69,10.40,61.39,87.38,247.27,234.00,121.85,206.24,266.61,293.80
254.56,98.65,37.38,169.05,143.47,117.35,215.18,111.85,251.25,262.57,108.68,97.11,161.57,86.95,103.48,206.53,72.69,53.61,6.26,86.51,206.84,184.95,96.91,268.24,272.33,44.17,202.24,94.18,250.41,168.86,87.98,204.97,267.51,125.36,74.02,110.98,242.71,289.20,222.82,193.95,251.77,31.50,291.06,113.34,118.46,94.54,19.87,191.15,148.15,26.13,277.66,54.99,211.08,74.56,23.23,183.41,118.73,225.48,277.59,69.15,94.33,65.57,274.12,61.84,190.93,48.14,172.82,133.64,37.34,95.64,27.59,289.11,127.14,18.65,102.45,245.60,113.20,122.32,136.75,261.35,148.45,114.41
16.34,59.53,188.97,39.57,242.94,7.70,265.05,220.54,76.85,59.38,286.11,50.96,121.22,177.04,99.10,294.04,10.67,136.44,89.68,38.26,125.55,216.82,56.92,228.00,162.43,170.11,50.32,299.18,131.46,198.78,113.58,147.80,258.31,2.55,187.37,201.25,10.25,152.42,121.79,87.10,211.80,107.89,138.06,33.02,284.93,237.16,27.06,295.60,73.60,116.74,33.86,199.15,33.57,90.78,127.15,195.99,260.89,177.48,195.17,92.35,76.25,8.75,240.14,34.56,11.29,127.52,235.81,21.54,279.94,57.59,108.64,191.74,165.49,246.70,224.76,150.41,183.86,251.83,146.01,257.47,68.57,179.87
