Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100,Col101,Col102,Col103,Col104,Col105,Col106,Col107,Col108,Col109,Col110,Col111,Col112,Col113,Col114,Col115,Col116,Col117,Col118,Col119,Col120,Col121
 ,46.19,113.69,143.82,279.40,95.92,137.38,219.25,193.51,80.38, , ,111.86,45.16,95.96,137.53,173.23,89.02,186.47,39.85,255.86,170.64,235.78,271.62,170.87,296.13,58.18,264.09,261.56,232.24,75.85,44.09, ,133.11,1.66, ,31.95,227.60,43.45,210.60,18.40,180.21,32.73,209.04,108.44,6.06,228.13,110.44,30.98,105.33,227.29,107.81,132.81,161.83,198.78,191.35,153.89,231.70,9.96,183.44,11.35,159.07,271.39,211.69,195.13,201.84,158.16,81.66,45.06,167.25,15.91,161.02,130.16,56.42, ,239.86,244.82,117.57,100.74,95.99,282.21,4.95,271.17,186.29,59.65,129.40,145.68,164.52,18.15,71.91,190.72,116.77,141.11,19.84,21.42,44.97,228.84,108.25,64.51,162.17,124.31,127.66,179.56,285.47, ,57.38,140.14,172.73,210.26,295.53,128.48,197.08,40.21,240.35,11.50,102.40,59.19,263.32,273.52,14.65,204.92
227.18,141.17, ,51.43, , ,35.45,100.62,167.86,107.91,59.12,210.48, ,4.44,131.17,113.60,149.17,217.86,63.59,176.25,110.46,100.62,118.67,114.63,96.12,94.13, ,136.92,116.16,119.12,70.08,87.87,246.24,133.76,169.98,198.83,3.25,54.94,100.71,131.89,79.33,181.06,215.51,98.22, ,217.33,26.96,93.80,260.64,76.61,70.17,182.05,272.65,79.42,264.81, ,51.74,115.94,125.49,250.77,63.12,141.04,234.61, ,177.47,63.04,99.31,223.48,157.70, ,237.12,110.26,7.84,141.71,94.80,155.22,190.91, ,31.95,187.83,150.24,3.48,19.38,46.50,84.15,138.99,141.32, ,141.07,201.88,156.64,249.97, ,140.88, ,172.83,183.29,67.83,63.71,267.97,27.61,250.65,49.82,73.12,220.14,107.72,196.96,118.69,276.22,287.81,156.39, , ,220.87,288.28,172.96,151.08,167.08, ,216.90,205.49
202.13,99.46,16.64,142.84,40.05,151.38,160.16,70.50,232.90,188.13,135.31,68.55,11.47,168.26,152.27,220.11,193.43,78.55,83.40,73.63,225.16,69.93,237.04,285.18,102.78,87.41,17.70,273.98,26.24,257.53,215.99,232.92,197.22,19.48,232.87,104.08,18.12,243.36,14.43, ,117.21,212.50,119.56,29.29,94.71, ,273.22,283.90,196.93,217.62, ,150.48,265.82,27.63, ,282.78,180.41,271.47,20.38,101.83,56.07,183.55,56.80,15.11,62.91,221.81,128.44,131.01,49.38,165.58, ,148.36, ,256.24,254.08,41.72,65.45,6.45,25.39,105.76,103.94,252.53,149.20,109.31,218.92, , ,47.89,232.86,182.93,106.30,165.71,192.91,245.81,180.16,262.61,11.69,154.60,92.30, ,201.61,264.11, ,48.61,14.83,199.55,170.57,34.77,153.87,267.45,127.04,70.88, ,82.57,288.14,248.50,91.98,275.93,210.41,104.70,94.48
 ,292.24, ,27.01,77.86,260.49,81.72,248.42,241.65,27.56, ,276.06, ,126.17,225.87,277.31,55.17,116.74,64.03,197.30,66.52,45.72,152.70,135.12,298.81,132.11,6.56,2.44,79.68,125.95,165.19,36.11, ,152.86,239.08,90.98, ,66.14,19.88,203.29,19.95, ,152.07,238.33,230.91,141.65,292.58,224.70,183.31,270.89,38.74,262.51,240.09,195.85,275.26,219.23,134.64, ,286.70,0.36,280.70, , ,159.56,264.93,220.83,226.28,148.73, ,278.44,174.88,92.29,288.97,280.40,132.84,110.31,42.79,163.34,49.30, ,86.82,24.73,278.48,264.63, , ,105.65,59.02,255.91,268.91,189.57,100.27, ,282.90,61.81,184.57,49.80, ,218.29, ,196.77, ,23.97,54.33,180.54,109.56, ,78.47, ,170.99, ,73.81,118.88,33.29,246.73,257.35, ,235.98,198.13,220.41,182.55
51.73,88.10,199.54,239.76, ,110.74, ,184.56, , ,127.91,266.91,246.45,212.36,161.78,48.05,32.60,56.94, ,145.03,193.23,185.37, ,296.12,145.11,198.85,200.86,119.86,237.74,279.33,248.73,260.59,223.30,227.38,77.52,125.26,114.29,208.51,59.24,115.16,85.31, ,286.17,154.97,278.50,133.26,170.00, ,166.78, ,94.17,159.92,3.16,129.52,91.57,143.30,255.62,81.51,82.75,10.39,221.61,158.99, ,28.99,206.70,226.91,289.94,149.01,107.97,134.69,123.63,35.33,230.77,201.34,165.73,210.79,190.62,262.44,17.19,274.74,187.21,212.98,6.46,182.33,94.05,6.46,292.18,37.51,124.76,123.35, ,34.15,98.48,56.38,251.02,18.72,235.03,87.89,226.83, ,41.26, , ,161.60,89.50,226.67, ,50.02,45.82,298.70,18.01,188.29,102.90,143.94,127.38,150.12,81.70,95.47,156.19,187.21,232.69
86.58,224.28, ,270.10,50.40,238.78,2.69,208.39,51.75,37.08,96.45,65.27,186.77,97.28,278.10,262.65,43.76,288.70,161.31,101.14,73.20,17.20,247.72,285.59,171.91,283.05,113.96,209.44, ,6.72,117.30,293.33,7.67,170.42,264.24,289.17,202.42,193.15,276.81,263.90,290.65,259.33, ,7.65, ,146.86,131.94,139.06,145.88,228.21,34.77,145.53,68.41,53.03,26.27,80.30,6.12,276.74, ,77.27,198.38,119.96,10.48,212.60,230.01,63.96,94.10,91.84,24.82,171.07,166.06,66.68,207.02,132.98,167.56,145.58,88.78,139.47,49.67,235.01,111.41,225.99,255.38,23.56,157.63,266.58,95.53,179.92, ,12.90,38.44,20.61,11.93,243.85,35.82,46.19,107.33, ,12.84,259.32,280.74,231.02,140.64,280.57,29.12,33.46,189.88,224.76,268.54,238.10,246.74,125.91,41.35,203.72,171.61,90.59,279.99,99.67,48.17, ,77.29
174.65,121.57,206.20,99.80, ,179.52,287.96,26.09,176.51,83.50,92.85,200.47,195.70,193.46,80.39,21.15,209.30,133.64,208.79,140.36,3.40,89.76,25.31,20.67,45.67,249.94,278.25,211.36, ,104.82,230.95,138.97,48.77,76.67,50.35,229.68, ,249.56,20.90,281.88,176.69,145.73,166.07,277.05,297.93,182.26,58.56, ,1.58,96.28,159.81,104.39,222.90,39.05,154.83,70.80,190.61,42.14,264.43,294.30,164.05, ,279.80,245.84,182.06,30.80,176.15,64.70,100.34,4.68,53.47,260.06,209.21,292.00,22.85, ,64.71, ,288.83,223.15,236.50, ,267.30,127.16,130.23,245.08,97.48,82.32, ,32.19,152.82,251.73,182.31,240.38,215.15,206.46,163.89,243.50,110.26,242.06,139.25,200.08,132.34,250.44,128.82, ,281.63,225.43,189.13,97.68, ,26.89,151.36, ,94.87,253.31,247.74, ,282.60,111.26,142.83
 ,271.64,37.06,51.14, ,240.27,208.26,73.47,33.98,125.92,19.69,130.34,79.34,66.73,147.07,176.88,239.69,261.54, ,214.81,239.78,275.43,233.65,73.66,43.30, ,220.33,126.31,141.76,89.34,267.59,86.49,226.30,84.71, ,62.01,45.35,128.04,1.98,30.09,230.48,74.12,293.73,51.50,234.06,133.74,224.75,229.05,296.45,153.93,265.43,286.94,217.73,31.54,176.68,295.34,135.03,32.35,161.76,173.16,41.01,238.38,77.06,34.98,122.66,257.80,104.86, ,22.59, , ,236.40,237.65,27.08, ,155.84,159.77,264.68,35.91,166.55,70.49,186.47,90.45,281.24,89.01, ,148.73,160.21,102.56,128.70,104.97,285.48,64.38,238.51,50.39,131.71,212.06, ,105.21,194.09,19.01,166.55,131.83,97.12,179.63,45.66,299.95,294.75,14.65,212.29,59.61,111.53, ,144.77,71.13,166.87,287.48,24.13, ,101.20,198.76
216.50,290.10,194.68,190.22,294.08,189.14,156.38,276.66,145.44,193.43,116.31,101.38,75.14,248.07,47.29,157.17,91.25,180.22,132.13,195.26,172.96,179.91,85.07, ,230.51,45.07,222.32,145.80,171.22,136.67, ,283.50,182.64,52.01,60.68,133.31,10.35,40.34,35.61,46.84,55.92,232.32,75.17,246.13,199.62,100.44,36.56,151.90,158.70, ,219.38,115.37,98.40,215.66,157.25, ,44.50,188.35,197.32, ,143.46,204.84, ,152.02,111.68,216.92,207.83, ,295.88,65.07,135.99,82.96,21.79,37.74, , ,16.10,19.79,197.63,120.72,76.65,37.05, ,7.43,234.36,284.28, ,78.56,242.97,77.94, ,115.68,286.80,99.64,150.03,154.77,79.93,151.31,117.19, ,124.62,168.10, ,116.81,283.11, ,144.63,191.77,95.14,111.41,74.95,75.42,223.31,114.08, ,12.45,233.26,245.25,114.30, ,231.11
41.19,178.10, ,69.87,207.21,121.84,120.13,208.01,113.69,268.37,59.49,237.77,227.02,146.28, ,204.37,101.15,105.06,131.38,49.11,124.35,263.66,214.43,164.96,267.74,37.09,282.55,22.64,244.93,121.58,55.72,258.70, ,63.76,102.89,185.22,105.26,208.37,193.95,227.17,30.16,299.76,132.78,137.67,262.60,229.65,99.05, ,255.92,271.33,30.00,277.25,57.49,183.09, ,245.51,113.40, ,113.15,29.89,228.37, ,271.70,42.29,23.21,26.67,221.18,280.33,95.94,230.91,138.14,203.44,97.48, ,294.59,150.01,260.81,162.44,50.08,96.53,253.26,147.50,267.57,183.92,62.13,71.90,277.10,18.29,219.99,120.08,165.11,239.06, ,101.49,98.55,276.70,284.80,66.88,290.66,72.31,95.20,203.55,188.38,228.34, ,263.46,160.63,39.30,254.49,201.18, ,232.72,105.70,134.45,105.92,205.65,256.76,89.50,210.90,186.36,227.00
102.69,293.03,35.51, ,123.28,20.41,226.62,115.30, ,287.88,91.33,128.29,194.38,208.40,195.66, ,122.66,47.20,220.21,154.38,164.21,6.83,287.25,16.40,77.59, ,27.65,283.96,122.05,73.72,283.61, , ,92.04, ,210.91,253.79,285.53, ,292.36,30.20,19.03,3.40,223.19,75.61,186.99,85.49,228.12,230.09,297.22, ,272.55,78.35,298.32,44.34,56.24,71.47,65.99,285.45, ,16.50,34.56,40.92,164.20, ,94.28, ,116.41,158.92,206.47,47.76,129.59,26.60,160.50,242.55,294.10, ,10.60,226.70,194.38,78.29,235.89,185.81,288.98,281.18,220.42,86.17,196.03, ,72.59,226.02,100.41, ,292.55,178.80,144.81,265.99,236.62,95.66,24.13,136.37,123.05,71.74,247.56,84.42, ,120.11, ,220.52,80.84,241.80,132.32,32.83,9.70,0.18,91.88,190.00,29.62,285.04,222.27,69.13
97.53,126.80,164.98,199.55,260.40, ,92.71,238.29,237.65, ,43.02,215.50,227.87,246.07, ,168.35,115.60,243.03,1.84,90.06,31.07,9.56,241.33,100.37,293.29,87.36,81.04,99.98,14.85,260.13,91.58,73.26,3.52,132.26,147.80,54.53,258.19,51.28,166.36,79.14,189.67,44.13,253.48,284.77,189.21,196.08,73.38,187.96,285.62,82.26,242.54,12.29,200.88,100.25,215.22, ,104.89,271.02,299.37,60.37,4.34,163.78,78.66,173.09,118.73,237.82,135.85,264.44,275.49,136.84,243.22,269.61,62.13,123.71,55.76,29.20, ,192.98,268.01,218.31,144.82,61.39,247.47,61.42,111.49,120.90,32.65,123.82,199.26,204.48,120.21,289.96,277.91,225.53,209.03,69.49,255.46,150.83,266.88,186.99,1.67,232.58,145.02,115.09,120.85,5.04,108.12,121.36,177.95,31.96,190.73,140.83,232.33,49.13,203.90,277.58,244.01,239.90,266.55,133.31,74.54
28.46,133.36,268.69,196.72,98.28,102.10,233.64,230.77,233.65,218.89,40.24, ,280.14,87.94,85.22,109.66,203.80,56.93,261.02,250.34,166.51,63.77,271.44,36.39,31.85,173.09,211.30,64.47,287.90,226.56,27.76,296.70, ,53.62,289.55,235.53,288.37,14.99,244.76,130.38,145.05,72.06,212.75,152.61,95.94,30.74,32.77,165.76,95.50,249.52,41.23,36.27,158.37,123.59,164.46,2.10,255.42,97.65,182.19,272.35,255.27,147.19,70.05,252.38, ,201.90,273.56,286.87,245.32,126.74,202.60,50.55, ,124.70,204.30,260.02,285.02, ,132.21,249.78,155.72,77.48,65.93,144.56,54.19,90.95,138.33,261.65,205.66,13.58,202.08,175.44,5.49, ,137.70,208.24, ,23.57,207.40,111.37,142.31,141.85,46.49,226.81,169.06,5.93,47.90,203.11,286.73,14.07,46.30,153.42,157.93,89.49,266.51,117.30,66.42, ,112.91,268.89, 
101.36,291.03,34.99, ,21.71,86.68,149.05,120.32,252.75,267.70,263.83,135.38,234.97,114.72,33.87,168.94,184.97,133.29,30.90,106.84,130.17,19.51, ,139.83,241.08,125.12,100.98,94.55,228.65,288.35,222.95,145.46,256.93,198.49,172.28,98.00,56.09,244.41,279.85,192.74,221.40,180.09,11.54, ,240.19,184.35,86.68, ,151.88, ,50.37,75.84,2.40,32.38,245.16,273.77,260.43, ,278.29,273.18,49.44,230.02,53.53, ,9.83,151.72, ,202.09,188.32,129.86,210.75,134.22,97.55,238.86,114.43,67.04,206.99,256.79,29.64, ,29.48, ,181.20,5.14,70.68,261.67,82.52,24.32,150.85,80.37,114.12,6.87,282.41, ,239.20, ,249.52,56.77,227.27,212.89,21.27,125.87,184.11,155.35, ,6.20,205.50,144.41,102.79,82.71,23.22,67.51,271.44,107.28,29.39,154.00,66.52,87.66,21.67,204.80,121.18
260.39,6.92,126.99,130.38,126.35,231.61,204.11,295.98,144.16,56.65,287.16,135.72,172.62,70.86,87.48,288.43,218.72,152.68,105.06,255.41,136.66,125.28,90.07,52.16,146.62,232.38,231.97,208.60,225.49,182.02, ,170.44,90.22,213.52,270.85,91.34,33.24,27.54,68.43,126.16,295.42,235.03,166.93,37.80,228.62, , ,188.76,2.44,189.77,114.91,112.54,62.89,184.61,219.79,239.22,255.69,280.91,63.85,193.86,119.37,118.90,64.06,296.89,286.64,282.46,47.29,7.80,240.79, ,160.57,139.82,101.15,187.43,138.31, ,239.95,8.21,127.54,66.52,138.77,11.09, ,58.38,162.50,157.03,69.15,200.37,224.12,283.43,293.40, ,179.13,1.45,120.55,259.61,253.42,240.22,219.61,22.90,257.43, ,12.35,10.48,169.57,214.24,46.14,274.73,86.77,194.40,156.97,233.72,276.81,284.25,251.71,264.22,36.60, ,48.95,90.92,285.83
175.91,71.65,113.56,170.33,159.00,6.95,78.15,159.19,35.24,61.95,64.73,151.01,229.95,36.66,161.63,46.38,161.33,121.09,82.63, ,241.63,131.83,214.00,283.20,218.05,86.20,148.44,183.47,165.66,105.49,245.06,232.91,289.32,103.68,133.57,89.09,230.96,199.20,103.75,169.21,266.11,54.26,191.12,183.38,21.17,243.30, ,176.21,106.18, , ,60.71,159.48,78.56,35.10,184.15,92.73,183.61,260.22,239.25,181.54,219.12,239.33,287.27,134.16,42.68,163.84,34.27,239.29,103.73, ,287.88,129.07,75.51,154.05,116.46,255.21,271.12,51.82,112.88,290.62,210.04,70.16,211.54,252.71,197.21,60.71,119.00,78.92,66.99,268.19,284.97,295.95,49.01, ,161.89, ,68.22, ,138.39,191.98,91.32,129.08,277.05,137.43,93.09,233.83,0.13, , ,113.24,272.54,79.66,76.16,202.65,163.25,39.94,272.91,271.57,149.69,116.15
